یہودیو,yahodiyo
گردن,gardan
گردان,gardaan
گرم,garam
گرج,garaj
گِڑا,gara
گاؤں,gaon
گنواتے,ganwatey
گنواروں,ganwaroon
گنوائیں,ganwaen
گنوار,ganwaar
گنے,gannay
گنی,gani
گندی,gandi
گندیاں,gandhian
گندے,ganday
گندہ,gandah
گندگی,gandagi
گندا,ganda
گانہ,ganah
گلی,gali
گلا,gala
گاجو,gajo
گہنے,gahne
گہے,gahe
گدھے,gadhay
آور,gach
گابھن,gabhan
گائے,gaaye
گاڑھا,gaarha
گارے,gaaray
گارا,gaara
گار,gaar
گالی,gaali
گاہوں,gaahon
کھولتی,gaah
گابنی,gaabni
گاجس,ga jis
گاجب,ga jab
گا,ga
گ,g
فزا,fza
فضول,fuzool
فرصت,fursat
فتنے,ftne
فسادیوں,fsadyon
فرماؤں,frmaon
فریب,fraib
فوجوں,foujon
فوج,fouj
فوراً,foran
فورا,foran
فضا,fiza
فتنہ,fitnah
فسق,fisq
فرشتوں,firshton
فرقوں,firqoun
فرقے,firqay
دوسروں,firounion
فردوس,Firdous
فراست,firasat
فرعون,firaon
فقیہ,fiqiya
فکریں,fikrein
فکر,fikar
فدیہ,Fidya
فی,fi
فہمی,fehmi
فضل,fazl
فاضل,fazil
فضیلت,fazeelat
فوجیں,faujein
فتویٰ,Fatwa
فتح,fatah
فسقہو,fasqaho
فاسق,fasik
فسادی,fasadi
فساد,fasaad
فرضی,farzi
فرض,farz
فریاد,faryaad
فرش,farsh
فرق,farq
فروخت,farokht
فرمایا,farmaya
فرماتے,farmatay
فرماتا,farmata
فرماؤ,farmao
فرمانبردار,farmanbardar
فرمانے,farmanay
فرمانا,farmana
فرمائے,farmaiye
فرمائی,farmai
فرمائیں,farmaen
فرمادے,farmade
فرمانبرداری,farmabardari
فرماتی,farmaati
فرمان,farmaan
فرما,farma
فرشتو,farishto
فرشتے,farishtay
فرشتہ,farishta
فارغ,farigh
فریق,fareeq
فریبوں,fareebon
چھوٹ,farebi
فربہی,farbahi
فربہ,farba
فراموشی,faramoshi
فقیروں,faqeero
فقیر,faqeer
فقط,faqat
فانوس,fanoos
فنا,fanaa
فلانے,falanay
فلاح,Falah
نیکوکار,fakhr
فیض,Faiz
فیصلہ,faisla
فیصل,Faisal
فائدے,faiday
فائدہ,faida
فائد,faid
فاصلہ,faasla
بوجھوں,faani
ف,f
اعتدالی,etdaali
عشاء,esha
اِرم,Erum
علان,ellan
الٰہی,Ellahi
الہٰی,Ellahi
اعلانیہ,elania
اعلان,elaan
عید,eid
احسانوں,ehsaanon
احمقوں,ehmaqon
احمقانہ,ehmaqana
احکام,ehkaam
عہد,ehad
عیسیٰ,eesa
عیسی,eesa
ایندھن,eendhan
دواور,dwavr
ڈبو,duubo
دشواری,dushwari
دشوار,dushwaar
دشمنوں,dushmanon
دشمنی,dushmani
دشمن,dushman
آسودوں,durust
ماموں,duroood
دوپٹے,dupattay
دنیاوی,dunyawi
دنیاو,dunyao
دونی,dunne
دُونی,Dunne
دنیا,duniya
دنیوی,dunewi
دوں,dun
روگی,dun
دکھاتی,dukhati
دکھاؤں,dukhao
دکھائے,dukhaay
دکھ,dukh
دہرائی,duhrai
ڈبوئے,duboye
دُبلی,dubli
دبلی,dubli
دبک,dubak
دبائی,dubaiee
ڈبا,duba
دعائیں,duayen
دعائے,duaye
دعا,dua
ڈرائے,dry
ڈروں,dron
دروُ,dro
درباریوں,drbaryon
دوز,doze
دوزخی,dozakhi
دوزخ,dozakh
دولت,doulat
ڈوبتے,doubtey
دوستوں,doston
دوستی,dosti
دوست,dost
دوسرے,dosray
دوسرا,dosra
دوڑتا,dorta
دوڑتے,dorrtay
دوڑو,doroo
دوڑنا,dorna
دورکر,dorkr
ڈوریں,dorin
دوڑیں,dorein
دوڑے,doray
شاعروں,doray
دوڑاتے,doratay
ڈورا,dora
دورہ,dora
ڈور,dor
دوپہر,dopehar
وفات,doosron
دوسری,doosri
ضروری,doori
ڈورے,dooray
دونگا,doonga
دودھ,doodh
ڈبویا,dooboya
ڈوبنے,doobnay
ڈوبے,doobe
ڈوب,doob
دُوب,doob
دونوں,dono
دونا,dona
دُونا,dona
دون,don
ڈول,doll
دوہرے,dohray
ڈوبتا,dobta
دوبارہ,dobarah
پوجھ,dobala
دو,do
دیئے,diye
دیے,diye
دیاگیا,diya gaya
دیا,diya
دیو,dio
دنوں,dinon
دیںگے,dinge
دن,din
دلوں,dilon
دلی,dili
دلایا,dilaya
دلانے,dilanay
دلانا,dilana
دلائی,dilae
دلاؤں,dilaau
ٹلنا,dilaati
دلاتا,dilaata
دلا,dila
دل,dil
دکھانا,dikhnana
دکھائی,dikhayi
دکھاوا,dikhawa
دکھاوے,dikhavay
دکھاتے,dikhata
دکھاؤ,dikhao
دکھانے,dikhaane
دکھا,dikha
دیجئے,dijiye
دیجائے,dijaye
دیواریں,diivaaren
بکٹا,digin
دیگئی,Digayi
دی,di
دھویں,dhuwen
دھواں,dhuwan
ڈھونڈو,dhuundo
دھتکارے,dhutkare
دھنس,dhuns
دھن,dhun
دھوئیں,dhowen
دھوپ,dhoop
ڈھونڈتے,dhoondtay
ڈھونڈ,dhoond
دُونے,dhone
دونے,dhone
دھوکے,dhokay
دھوکا,dhoka
ڈھونڈنے,dhoandne
دھنستا,dhnsta
ڈھنڈ,dhnd
دھمکاتا,dhmkata
دھکیلے,dhkile
دھیان,dheyaan
دھيان,dheyaan
ڈھیروں,dheron
ڈھیٹ,dheet
ڈھیل,dheel
ڈھے,dhay
ڈراؤں,dharoun
دھڑے,dharay
دھرم,dharam
دھڑکتے,dharaktey
دھرا,dhara
دھڑ,dhar
دھنسی,dhansi
دھنسا,dhansa
خانوں,dhanpe
دھنکی,dhanki
دھمکیاں,dhamkian
دھمکی,dhamki
دھمک,dhamak
ڈھالتے,dhaltay
ڈھلنے,dhalnay
ڈھلکتے,dhalakte
دھکے,dhakkay
دھکا,dhaka
دھاک,dhak
ڈھیر,dhair
ڈھئی,dhaie
دھات,dhaat
ڈھارس,dhaaras
دھار,dhaar
ڈھانپ,dhaanp
تیسرے,dhaank
ڈھال,dhaal
ڈھا,dhaa
ڈھ,dh
دیتی,deti
دیتے,dete
دیتا,deta
دیر,der
دینا,dena
دیں,den
دیکھئے,dekhye
دیکھتیں,dekhteen
دیکھتے,dekhte
دیکھو,dekho
دیکھنے,dekhnay
دیکھنا,dekhna
دیکھیئے,dekhiye
دیکھی,dekhi
دیکھیں,dekhen
دیکھے,dekhe
دکھایا,dekhaya
مانگی,dekhatii
دکھاتا,dekhata
دیکھا,dekha
دیکھ,dekh
دکھائیں,deikhein
دہقانوں,dehqanon
دہنی,dehni
دہکائے,dehkaaye
دیہات,dehaat
ڈگری,degree
دیجیے,degiye
دیوار,deewar
دیوانے,deewany
دیوانہ,deewana
دینوں,deeno
دینی,deeni
دین,deen
دَین,deen
بدمزہ,deemak
دیدار,deedar
دیدہ,deedaa
ڈیل,deal
گھونسا,dayyan
دے,day
داؤد,dawod
دعوت,dawat
دوامی,dawami
دوڑتی,daurti
دور,daur
دوڑ,daud
جنون,dasvin
دستور,dastoor
داستانیں,dastaneen
دست,dast
دس,das
دریافت,daryaft
دریاؤں,daryaaon
دریا,darya
دروازوں,darwazon
دروازے,darwazay
درویش,darwaish
دروازہ,darwaaza
ستائی,darti
ڈرتے,dartay
ڈرتا,darta
درس,dars
درپے,darpay
داروغہ,Darogha
ڈرو,daro
ڈرنے,darnay
درمیان,darmiyan
درکار,darkaar
درجوں,darjon
درجے,darjay
درجہ,darja
درندہ,darinda
ڈاڑھی,darhhi
ڈریں,dareen
داریں,dare’n
درناک,dardnak
درد,dard
دربار,darbaar
درازی,Darazi
ڈرایا,daraya
ڈرے,daray
ڈراتے,darate
ڈراتا,darata
درشت,darasht
ڈرانے,darane
ڈرانا,darana
درختوں,darakhton
درخت,darakht
دراز,daraaz
چمکی,daraati
جتاتا,dara
درگزر,dar guzar
ڈر,dar
داؤں,daon
داؤ,dao
ڈانواں,danwaan
دانستہ,danista
دانست,Danist
دانش,Danish
ڈنڈ,dand
دانے,danay
دانہ,dana
جلاتے,Dana
داموں,damon
دم,dam
ڈلوا,dalwa
ڈالتا,dalta
ڈالوں,daloon
دلیلوں,dalilon
ڈالیے,dalie
دلیلیں,daleelen
دلیل,Daleel
ڈالیں,dalain
ڈالا,dala
دخل,dakhal
دیرپا,dairpa
دینے,dainay
دائمی,daimi
دیکھتا,daikhta
دیکھوں,daikhon
دیدو,daido
داہنی,dahni
داہنے,dahinay
ڈہڈہاتی,dahdahati
ڈگمگا,dagmaga
دغا,dagha
دفتر,daftar
دفعتًا,daftan
دفع,dafaa
دفعہ,dafaa
داداؤں,dadaon
دادا,dada
دبے,dabey
دبیز,dabeez
دبایا,dabaya
دباؤ,dabao
دبا,daba
دعوے,daaway
دعویٰ,daawa
داستان,daastaa’n
داروں,daaron
دار,daar
دانت,daant
دام,daam
ڈالتی,daalti
ڈالتے,daaltay
ڈالو,daalo
ڈالنے,daalnay
ڈالنا,daalna
ڈالی,daali
ڈالے,daaley
ڈال,daal
داخل,daakhil
داغ,daagh
داد,daad
کریب,crib
کوچ,coach
چکھائی,ckkhai
کچل,chyontyon
چھوا,chuva
چھوتے,chutay
چھڑا,churra
چھری,churee
چراتے,churatay
چراؤ,churao
چِرا,chura
چرا,chura
چھپتا,chupta
چھپنے,chupnay
چپکے,chupkay
چھپائیں,chupayen
چھپائے,chupaye
چھپایا,chupaya
چھپے,chupay
چھپاتے,chupatay
چھپاتا,chupata
چھپاؤ,chupao
چپ,chup
ریت,chunte
چنو,chuno
چن,chunn
چنی,chuni
چنے,chuney
چنیں,chunain
چنا,chuna
چلُو,chullu
چکو,chukon
چکی,chuki
چوُکیں,chukein
چکے,chuke
پچھتانے,chukane
چکاہے,chukahe
چکا,chuka
چٹیل,chtil
چٹی,chti
چھوئے,chovay
چوٹی,chouti
چوتھے,chouthay
چوتھا,choutha
چھپ,choup
چھوٹی,choti
چوتھائی,chothai
چھوڑتے,chortay
چوڑی,chorrie
چھوڑا,chorra
چھوڑنے,chorney
چوری,chori
چھوڑ,chore
چوڑان,choraan
چوڑائی,choraai
چور,chor
چوپائے,chopaye
سوجھانے,chopaya
چوپٹ,chopat
چوپایوں,chopaiyon
چھوٹنے,chootnay
چھوٹیں,chootiin
چورا,choora
خبری,choonti
چوں,choo
چوکھٹ,chokhat
تعاقب,chokannay
چھوڑتی,chodthee
چھوڑیں,choden
چھوڑی,choari
چنگھاڑ,chngharh
چمکائی,chmkayi
چمکائے,chmkaye
چلئے,chlye
چلائیے,chlayie
چکھائیں,chkhayin
چکاتے,chkate
چٹے,chitay
چپکانے,chipkanay
چپکا,chipka
چپکتی,chipakti
چنگاریوں,chingariyon
چنگاریاں,chingariyan
چنگاری,chingari
ٹلتا,chillate
زندے,chilkay
شگون,chikna
خلاصہ,chhuut
چھٹی,chhutti
چھٹنے,chhutne
چھٹکارا,chhutkara
چھڑائیں,chhurraayen
چھڑانے,chhuranay
چھڑانا,chhurana
چھپی,chhupi
چھپائی,chhupayi
چھپانا,chhupana
چھپاؤں,chhupaao
چھپا,chhupa
چھڑائی,chhrhayi
چھپاسکیں,chhpaskin
چھوئیں,chhoyin
کج,chhotna
چھوٹا,chhota
چھوڑتا,chhorta
چھوڑو,chhorro
چھوڑنا,chhorna
چھوڑے,chhorey
چھو,chhoo
چھتیں,chhatain
چھٹا,chhata
چھت,chhat
سوجھ,chhapa
چھاپ,chhap
چھلکتا,chhalakta
گیکہ,chhai
چھال,chhaal
چھا,chhaa
چنائی,chennai
چہرے,chehray
چہروں,cheharon
چیزوں,cheezon
چیزیں,cheeze
چیز,cheez
چیریں,cheeren
چیرا,cheera
چیر,cheer
چینی,cheeni
چیخ,cheekh
چھین,chean
چچاؤں,chchaon
چھ,chay
چٹان,chattaan
چھتوں,chaton
چٹانیں,chatanein
چشموں,chashmon
چشمے,chashmay
چشمہ,chashma
چشم,chasham
ملازمت,charwahay
چڑھے,charrhey
چرنے,charnay
چرخ,charkh
چڑھتے,charhtay
چڑھو,charho
چڑھنا,charhna
چڑھی,charhi
چڑھایا,charhaya
بننا,charhata
چڑھائی,charhai
چڑھا,charha
چڑھ,charh
چرچے,charchay
چرچا,charcha
چربی,charbi
چارہ,charah
چراغوں,charaghoon
چھپتے,chaptay
چھاؤں,chaon
چنگا,changa
چاندنیوں,chandnyon
چاندی,chandi
چاندنیاں,chandaniyaan
چند,chand
چمڑے,chamray
ذائقہ,chamki
چمکائیں,chamkayeen
چمکایا,chamkaya
چمکے,chamkay
چمکا,chamka
چمکتی,chamakti
چمکتا,chamakta
چمکنے,chamaknay
چمکتے,chamakate
چمک,chamak
چلتی,chalti
چلتے,chaltay
چلتا,chalta
چلو,chalo
چلنے,chalne
چلنا,chalna
چلی,chali
چلیں,chalein
چالیس,chalees
چلائیں,chalayein
چلائی,chalaye
چلائے,chalaye
چلایا,chalaya
چلے,chalay
چلاتی,chalati
چلاتا,chalata
چلانے,chalanay
چلن,chalan
چھلکتے,chalakte
چلا,chala
چل,chal
چکھو,chako
چکھا,chakkha
چکھنا,chakhna
چکھی,chakhi
چکھے,chakhay
چکھیں,chakhain
چکھایا,chakhaaya
چکھ,chakh
چکیں,chakain
چک,chak
چراغ,chairag
چین,chain
چاہتی,chahti
چاہتے,chahtay
طعنے,chahtain
چاہتا,chahta
چاہوں,chahoon
چاہو,chaho
چاہنا,chahna
چکھتے,chahkte
چاہیئے,chahiye
چاہئے,chahiye
چاہیے,chahiye
چاہی,chahi
چاہے,chahay
چاہت,chahat
چاہنے,chahanay
چاہیں,chahain
چاہا,chaha
پھٹکارے,chadoroon
ٹھٹک,chacha
چبائیں,chabian
چبا,chaba
چھائے,chaaye
چھایا,chaaya
چاشت,chaasht
چار,chaar
چاؤ,chaao
چاند,chaand
چال,chaal
چاک,chaak
کشتیوں,chaah
کار,car
بیوں,byon
جگا,buzurgon
بزرگی,buzurgi
بزدلی,buzdali
بت,buut
بٹ,Butt
بتوں,buton
بستیوں,bustiyon
بسر,busr
برتا,burta
برج,burj
بری,buri
برُی,buri
بڑھاپے,burhapay
بڑھاپا,burhapa
برے,buray
برُے,buray
برائیوں,buraiyon
برائیاں,buraiyan
برائی,buraiee
برا,bura
برُا,bura
بنیاد,bunyaad
بناؤں,bunun
بندوں,bundon
بلائیں,bulayen
بلائے,bulaye
بلایا,bulaya
بلاتی,bulati
بلاتے,bulatay
بلندیوں,bulandiyon
بلندی,bulandi
بلند,buland
بلانے,bulanay
بلانا,bulana
بلاتا,bulaataa
بلاؤ,bulaao
بلا,bulaa
بخیل,bukheel
بخل,bukhal
بجھنے,bujhnay
بجھے,bujhe
بجھا,bujha
ٹہنی,bujh
بغض,bughz
مین,budiya
گیئوں,bud feli
بتادیں,btadin
بتا,bta
دورے,brtte
برابرکر,brabrkr
بوجھل,boujhal
بوتے,botay
بوٹی,booti
بوڑھی,boorhi
بوڑھے,boorhay
بوڑھا,boorha
بوند,boond
بوجھے,boojhay
بوجھ,boojh
بودار,boodar
بولتی,bolti
بولتے,boltay
بولتا,boltaa
بولنے,bolnay
بولی,boli
بولیں,bolein
بولے,bolay
بولا,bola
بول,bol
بہتان,bohtan
بہت,bohat
بُو,bُo
بو,bo
بانٹا,bnta
بندیاں,bndyan
بندھائی,bndhayi
بندھ,bndh
بنالیتے,bnalite
بنالیے,bnalie
بنالے,bnale
بناےٴ,bnae ?
بنادیے,bnadie
بلوایا,blwaya
بلالیں,blalin
بکھیرے,bkhire
بیوی,biwi
بٹھایا,bithaya
بٹھاؤ,bithao
بٹھا,bitha
بچھڑا,bitchrha
بتائیں,bitayen
بتانے,bitanay
بسری,bisri
بناء,binaa
بیماروں,bimaroon
بالکل,bilkul
سرخ,bil farz
بل,bil
بخت,bikhat
بکھرے,bikhare
بجلیاں,bijliyan
بجلی,bijli
بگڑے,bigre
بگڑنے,bighrnay
بگھارنے,bigharnay
بگاڑتے,bighaartay
بگاڑنے,bigaarnay
بگاڑا,bigaara
بگاڑ,bigaar
ف۱۲۸,bidrdi
بدعت,bidat
بیچتا,bichta
بچھونا,bichona
بچھڑے,bichhre
بچھانے,bichenay
بچھے,bichay
بچھائی,bichai
بچھا,bichaa
بیبیاں,Bibyan
بی,bi
بھون,bhuvan
بھُس,bhus
بھولو,bhulo
بھولیں,bhulen
بھلائیوں,bhulaiyon
بھلائے,bhulae
بھتیجیاں,bhtijyan
صاحبزادیوں,bhtijon
بھڑکایا,bhrhkaya
بھڑکاتے,bhrhkate
بھوسہ,bhosah
بھوڑ,bhoor
بھولنے,bhoolnay
بھولے,bhoolay
بھول,bhool
بھوکا,bhooka
بھوک,bhook
بھونڈی,bhondi
بھوننے,bhon-nay
بھولتے,bholtay
بھولی,bholi
بھلادی,bhladi
بھڑ,bhir
بھی,bhi
بیٹھوں,bhethon
بڑھنے,bherne
بھرنا,bherna
بھیڑیا,bheria
بڑھائے,bherhaye
بھیجتا,bhejta
بھیجنے,bhejnay
بھیجیں,bhejen
بھیجہ,bhejah
بھیجا,bheja
بھيجا,bheja
بھیڑ,bheer
بھیک,bheek
بھائے,bhaye
بھٹ,Bhatt
بھٹکا,bhatka
بھتیجے,bhateejay
بھاتے,bhatay
بھٹکتے,bhataktay
بھٹکتا,bhatakta
بھٹک,bhatak
بھرتے,bhartay
بھرپور,bharpoor
بھروسہ,bharosa
بھروسے,bharoosay
بھرو,bharo
بھڑکے,bharkey
بھڑکتے,bharkate
بھری,bhari
بھرے,bharay
بھڑکتی,bharakti
بھڑک,bharak
بھریں,bharain
بھرا,bhara
بھر,bhar
بھانجیاں,bhanjyan
چادروں,bhanjon
بھانجے,bhanjay
بھنک,bhanak
بھنا,bhana
بھلے,bhallay
بھلی,bhali
بھلائیاں,bhalaiyan
بھلائی,bhalai
بھلا,bhala
بھائیوں,bhaiyon
بھیجتے,bhaijtay
بھیجو,bhaijho
بھیجی,bhaije
بھیج,bhaij
بھید,bhaid
بھائی,bhai
بھاگتے,bhagtay
بھاگتا,bhagta
بھاگو,bhago
بھاگنے,bhagnay
گھوم,bhagna
بھاگے,bhage
بھگانے,bhaganay
بھاگیں,bhagain
بھگا,bhaga
بھاگا,bhaga
بھایا,bhaayaa
بھاتی,bhaatii
بھاتا,bhaata
بھاری,bhaari
بھال,bhaal
بہائیں,bhaain
بھاگ,bhaag
بھا,bha
بگاڑے,bgarhe
بیزاری,bezari
بیزار,bezaar
بیوقوف,bewaqoof
بیٹوں,beton
بیٹو,beton
بیٹیاں,betiyan
بیٹی,beti
بیٹھو,betho
بیٹھنے,bethnay
بیٹھا,betha
بتائے,betaye
بیٹے,betay
بیٹا,beta
بیشمار,beshumar
بیڑیاں,berriyan
پراگندہ,beriyaan
بڑھاتا,berhata
بہرا,berha
بیماری,bemari
بیمار,bemaar
بکتے,bektay
بکھیر,bekhair
بیکار,bekar
بھیجوں,beju
بھیجے,beje
بہتی,behti
بہتیں,behteen
بہتر,behtar
بہتا,behta
بہروں,behroon
بہرے,behray
بیہوش,behosh
بیہودگی,behoodgi
بیہودہ,behooda
بہنوں,behnoon
بہنیں,behnain
بہلاوا,behlawa
بھانجوں,behlao
بہکے,behke
بہکایا,behkaya
بہکاوے,behkaway
بہکانے,behkanay
بہکا,behka
بہکتے,behektey
بحث,behas
بہرحال,behar haal
بہن,behan
بہک,behak
بہیں,behain
بہہ,beh
بگاڑیں,begarein
بیگانہ,begana
بیس,bees
بینا,Beena
بیت,beeet
بیچ,beech
بیع,bee
بیڑیوں,bediyon
بیچیں,bechen
بچاوے,bechavey
بیئر,bear
بَیر,bear
بے,be
بدشگونی,bdshgoni
بدلتے,bdalty
بچتا,bchta
بزور,Bazore
بازوں,bazoo
باز,baz
بیان,bayan
بیاں,bayan
انشاء,bayah
بیشک,bay shak
باوضو,bawazo
بٹے,battay
بٹا,batta
باتوں,baton
بٹنا,batna
باطن,batin
بیٹھیں,bathain
بتائی,batayi
بتایا,bataya
بتاؤں,batau
بتاتی,batati
بتاتے,batatay
بتاتا,batata
بتاؤ,batao
بھوچنگ,batanay
بتانا,batana
بتدریج,batadreej
بتادیئے,batadiye
بستیاں,bastiyan
بستی,bastii
بستا,basta
بسو,baso
بسنے,basnay
مہاجروں,bashriyat
بشری,bashri
باشد,Bashid
بشرطیکہ,bashart e kay
بشارت,basharat
بشر,bashar
بسے,basey
بسائیں,basayen
بساتے,basate
بسائی,basai
بسایا,basaayaa
بس,bas
برتیں,barten
برتری,bartari
برتر,bartar
برتاؤ,bartao
برتنوں,bartano
برت,bart
برسوں,barson
برسائے,barsaye
برسایا,barsaya
برسے,barsay
برساؤ,barsao
برسا,barsa
سنواردے,barron
بڑی,barri
بڑے,barray
برپا,barpaa
بارونق,baronq
پاتی,barkhast
برکت,barket
برکتوں,barkatoon
برکتیں,barkaten
باریکیوں,barikion
باریاں,barian
ہرانے,bari
بڑھتی,barhti
بڑھتا,barhta
بڑھنا,barhna
بڑھی,barhi
بڑھیں,barheen
بڑھائیں,barhayain
بڑھے,barhay
بڑھتے,barhatay
بڑھاؤں,barhaon
بڑھاؤ,barhao
بڑھائی,barhai
بڑھا,barha
بڑھ,barh
بارگاہ,bargaah
برف,barf
اِتراتا,bareeqi
بریں,bareen
باریک,bareek
برداشت,bardasht
برداری,bardari
بردار,bardaar
بردہ,barda
بربادی,barbadi
برباد,barbaad
بڑائی,barayi
بارے,baray
برتنے,baratnay
برتنا,baratna
برس,baras
برنگ,barang
برادری,baradri
برابری,barabari
برابر,barabar
بڑا,bara
برآمد,bar aamad
چنتے,baqyon
باقی,baqi
باقاعدہ,baqaida
بقدر,baqadar
بانٹتے,banttay
بنتے,bantay
بنتا,bantaa
بنوں,banon
بنو,bano
بانجھ,banjh
بنیں,banin
بنی,bani
مَرے,Bandoo
باندی,Bandi
باندھتے,bandhtay
باندھو,bandho
باندھنے,bandhnay
باندھنا,bandhna
بندھی,bandhi
باندھیں,bandhen
باندھے,bandhay
بندھے,bandhay
پال,bandhatay
باندھتا,bandhata
بندھا,bandha
باندھ,bandh
بندے,bande
بندر,bandar
بندہ,bandah
بندگی,bandagi
بند,band
بنائیں,banayen
بنائے,banaye
بنایا,banaya
بنے,banay
بناوٹ,banawat
بناتی,banati
بناتے,banatay
بناتا,banata
بنانے,bananay
بنانا,banana
بنالو,banalo
بنالی,banali
بنالیں,banalen
بنائی,banai
بنادیا,banadiya
بناؤ,banaao
بنا,bana
بننے,ban'nay
زِر,ban-na
بن,ban
بَن,ban
بولو,balow
بالوں,balon
بلکہ,balkay
بالیں,balen
بالائی,balai
بکریاں,bakriyan
بکریوں,bakrion
بکری,bakri
بکرے,bakray
بکا,bakka
بخشنے,bakhsnay
بخشتا,bakhshta
بخشش,bakhshish
بخشے,bakhshay
بخشا,bakhsha
بخشی,bakhsh
بخش,bakhash
بکثرت,bakasrat
بجتی,bajti
بجا,baja
بیٹیوں,baityon
بیٹھے,baithy
بیٹھتے,baithtay
بیٹھی,baithi
بیٹھ,baith
بیر,bair
بئیر,bair
بہتوں,bahuton
بحکم,bahukum
بہتے,bahtay
بھڑکا,bahrakna
بہشتوں,bahishtoon
بہشت,bahisht
بہائے,bahaye
تصویریں,bahaya
باہر,bahar
بہانے,bahanay
بہانہ,bahana
باہمی,bahami
بہائی,bahai
بہا,baha
بہ,bah
بگولا,bagula
بغور,baghore
باغوں,baghoon
باغیچے,baghiche
بغیر,baghair
بغاوت,baghaawat
بگڑ,baggar
بیعت,baet
بائیں,baen
بعید,baeed
بدتر,badter
بادشاہی,badshahi
بادشاہت,badshahat
بادشاہ,badshah
بدولت,badolat
پکنے,badlo
بدلیوں,badliyon
بدلیاں,badliyan
بدلی,badli
بدلیں,badleen
بدلے,badlay
بدلہ,badla
بدلا,badla
بدخو,badkhu
بدکاری,badkaari
بدکار,badkaar
بدی,badi
بڑھو,badho
بڑھایا,badhaya
بدبودار,badbudar
بدبختی,badbakhti
بدبخت,badbakht
بدست,badast
بدر,badar
بدن,badan
بدلتی,badalti
بدلتا,badalta
بدلنے,badalny
بدلنا,badalna
بدل,badal
بیریاں,bad mazah
بد,bad
بچتے,bachte
بچپن,bachpan
بچوں,bachon
بچنے,bachney
بچنا,bachna
بچی,bachi
بچو,bachcho
بچیں,bachchen
بچائیں,bachayen
بچایا,bachaya
بچے,bachay
بچاتے,bachatey
بچاسکیں,bachaskain
بچاؤ,bachao
بچانے,bachanay
بچائے,bachaaye
بچا,bacha
بچہ,bacha
بچ,bach
بیکس,bacchus
بابل,babul
بازو,baazu
بعضے,baazay
بازاروں,baazaaron
بازگشت,baaz gasht
بعض,baaz
باطل,baatil
باتیں,baatein
بات,baat
بدفعلی,baari
بارہا,baarha
بارہ,baara
بار,baar
باپ,baap
بانٹنے,baantane
بانٹ,baant
باندھا,baandha
بالا,baala
بال,baal
باک,baak
باعث,baais
باہم,baahum
باغ,baagh
بادلوں,baadalon
بادل,baadal
بعد,baad
باب,baab
بمشکل,baa-mushkil
باعزت,ba izzat
با,ba
بہتیری,b_htiri
بہشتیں,b_hshtin
بہکائے,b_hkaye
بعل,b - al
آزماتے,azmatay
عظمت,Azmat
آزمائش,azmaish
آزمانے,azmaane
عزیز,Aziz
عظیم,azeem
آزر,Azar
اِذن,azan
اذن,azan
آزادی,azadi
آزاد,azad
عذابہو,azabaho
آزار,azaar
اذان,azaan
عذاب,azaab
ایوب,ayub
آئیں,ayen
آیتوں,ayaton
آیتیں,ayatain
آیات,ayaat
عیاں,ayaan
اول,awwal
اوّل,awwal
آویزاں,awezan
قلمیں,awazon
اوڑھنا,avrhhna
اوربے,avrbe
اوراے,avrae
اوندھے,avndhe
عورتوں,aurton
عورتیں,aurtain
عورت,aurat
اور,aur
اوقات,auqaat
اولیاء,aulia
اولاد,aulaad
چھائی,atraaf
اٹکلیں,atklin
اٹھوائے,athwaye
اٹھاتیں,athatin
آتے,atay
عطا,ataa
اَستر,aster
استہزاء,Astehza
استغفار,astaghfar
گیمجرم,assar
آثار,assaar
اسمٰعیل,asmayl
آسمانوں,asmano
اصلی,asli
اصلاً,aslan
اشیاء,ashya
اشرفی,ashrafi
اسحق,ashq
اسیر,aseer
اژدھا,asdeha
اسباب,asbaab
اصل,asal
آسیب,asaib
عصا,asa
آرزو,arzoo
عرض,arz
اڑائیں,aruain
عرش,arsh
ارے,arrey
عرفات,Arfat
آرائش,Araish
ف۱۰۳,araha
عربی,arabi
اقصیٰ,aqsa
عقلوں,aqlon
ذات,aqibat
مغلوبی,aqeedah
عقلمندوں,aqalmandon
عقلمند,aqalmand
عقل,aqal
اپنوں,apnon
اپنی,apni
اپنا,apna
آؤں,aon
آنتوں,anton
آنسو,ansoo
انصار,Ansar
انس,ans
عنقریب,anqareeb
انوکھا,anokha
آنکھیں,ankhen
انجان,anjaan
انگور,angoor
انگوروں,angarro
انگارا,angara
انیس,Anees
اندھوں,andhon
اندھیریوں,andhiyaron
اندھی,andhi
اندھیریاں,Andheryan
اندھیروں,andheron
اندھیری,andheri
اندھیرے,andheray
اندھیرا,andhera
اندھے,andhay
اندھا,andha
اندیشہ,andesha
اندازوں,andazon
اندازے,andazay
اندازہ,andaza
انڈے,anday
اندر,andar
انداز,andaaz
انبیاء,anbia
آنے,anay
بزرگوں,anaaj
اَن,aَn
امتوں,amton
امین,amin
آمیزش,ameezash
امیروں,ameeron
مثلاً,amar
امانتوں,amanaton
بیدردی,amanatdar
امانتیں,amanatain
امانت,amanat
امن,aman
عمل,amal
آمدورفت,amad o raft
امان,Amaan
آمادہ,amaada
الم,alum
خالق,alqa
اللہ,Allah
الله,allah
الگ,allag
آل,all
الف,alif
علیین,aleen
ایلچی,alchi
الایمان,alayman
آلے,alay
علانیہ,alania
علامتیں,alamtain
